Seq_Heu_FS,Par_Heu_FS,Par_FS,Seq_FS
706.460144,86.201729,40007.856231,48312.109321
729.019226,86.018890,38522.236500,48129.952364
697.620667,86.266159,38584.952350,47266.582368
547.981079,86.716782,39852.630064,47893.599325
546.917542,86.373001,38452.236962,48265.856942
534.195862,85.983971,37024.390190,46448.852369
538.029602,85.715637,36840.950475,46856.329258
537.755859,86.475433,36254.652014,45562.456987
536.583984,86.434174,35125.845236,45652.765238
536.788269,86.827698,35028.045635,45189.982364
